TT				Trang Thai Ke			Danh sach Q				Danh sach L1				Danh sach L
A14					D6E8C15F7					D13E21C24F27
D6					E8H10					E19H25E19C24F27
E8					K2I4					K17I18H25E19C24F27
K2					B0					B21I18H25E19C24F27
B0										I18H25E19C24F27
B0										I18H25E19C24F27
I4					B0K2					B19K25H25E19C24F27
B0										K25H25E19C24F27
B0										K25H25E19C24F27
K2					B0					B29H25E19C24F27
B0										H25E19C24F27
B0										H25E19C24F27
H10					K2					K22E19C24F27
K2					B0					B26E19C24F27
B0										E19C24F27
B0										E19C24F27
E8					K2I4					K17I18C24F27
K2					B0					B21I18C24F27
B0										I18C24F27
B0										I18C24F27
I4					B0K2					B19K25C24F27
B0										K25C24F27
B0										K25C24F27
K2					B0					B29C24F27
B0										C24F27
B0										C24F27
C15					H10					H25F27
H10					K2					K22F27
K2					B0					B26F27
B0										F27
B0										F27
F7					I4G12					I30G36
I4					B0K2					B31K37G36
B0										K37G36
B0										K37G36
K2					B0					B41G36
B0										G36
B0										G36
G12										
